danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.717,0.455,5,-8.303,1,0.0276,0.0846,0.0,0.11,0.389,127.812,200733,4
0.605,0.885,11,-5.173,1,0.0364,5.97e-05,0.000124,0.102,0.514,125.995,280440,4
0.356,0.886,6,-3.452,1,0.0597,9.07e-05,0.0,0.245,0.389,187.976,215467,4
0.447,0.972,4,-2.735,1,0.146,0.000144,0.00657,0.262,0.348,77.458,200053,4
0.497,0.954,4,-3.134,0,0.0597,1.99e-05,0.122,0.638,0.377,105.013,297093,4
0.454,0.79,11,-4.361,0,0.0285,0.00604,3.09e-05,0.225,0.362,100.225,291907,4
0.599,0.988,6,-3.337,1,0.233,0.000202,0.478,0.0927,0.0541,124.993,194653,4
0.57,0.654,8,-9.051,0,0.0258,0.0196,4.31e-05,0.313,0.29,101.009,251080,4
0.505,0.701,0,-12.031,1,0.0349,0.0148,0.000405,0.406,0.616,164.684,248867,4
0.442,0.824,10,-6.66,1,0.0403,1.73e-05,8.21e-05,0.26,0.353,112.95,302693,4
0.611,0.95,8,-3.509,1,0.0518,0.00141,1.59e-06,0.0543,0.607,132.078,193893,4
0.365,0.978,9,-6.314,1,0.0698,0.00016,0.00241,0.206,0.108,101.886,301053,4
0.451,0.815,2,-5.55,0,0.0368,6.06e-05,0.0,0.27,0.618,147.974,194227,4
0.244,0.998,1,-5.619,0,0.0925,8.64e-06,0.882,0.287,0.192,114.914,442758,4
0.614,0.671,10,-6.591,0,0.0577,0.0104,8.25e-05,0.286,0.688,123.765,155347,4
0.768,0.864,11,-6.145,1,0.0324,0.101,0.0,0.162,0.891,110.008,173027,4
0.327,0.983,11,-2.144,1,0.16,0.000136,0.274,0.0602,0.0881,101.938,224333,4
0.653,0.964,9,-4.261,0,0.0582,0.00316,0.00512,0.144,0.87,126.928,209267,4
0.288,0.797,10,-6.199,1,0.0361,0.00805,0.0232,0.317,0.631,108.968,433707,4
0.644,0.726,2,-6.613,1,0.0577,0.0168,0.00261,0.29,0.814,126.977,236827,4
0.598,0.665,9,-8.002,0,0.288,0.483,7.99e-06,0.0802,0.485,84.671,141093,4
0.539,0.966,1,-5.02,1,0.433,0.0542,0.0,0.466,0.432,99.142,235533,4
0.459,0.851,2,-7.253,1,0.0428,0.000309,6.13e-06,0.316,0.267,140.048,208395,4
0.701,0.815,0,-5.995,1,0.0381,0.0174,0.000627,0.0969,0.671,138.142,279027,4
0.655,0.805,6,-6.493,1,0.0335,0.0263,0.00542,0.28,0.701,119.029,133667,4
0.469,0.823,9,-3.948,0,0.0583,0.000613,0.000829,0.185,0.136,122.316,387640,4
0.397,0.68,7,-6.146,1,0.0282,0.00169,0.0117,0.566,0.558,170.046,321133,4
0.737,0.657,4,-10.962,0,0.0284,0.0863,0.0339,0.0953,0.76,131.022,280693,4
0.488,0.842,6,-5.926,1,0.0469,0.0116,0.00127,0.146,0.41,90.003,187347,4
0.377,0.981,5,-3.091,1,0.0894,9e-05,0.00119,0.351,0.472,172.068,205145,4
0.761,0.721,2,-5.529,1,0.0392,0.000103,0.0761,0.103,0.39,135.181,427200,4
0.776,0.763,5,-8.124,1,0.0534,0.182,0.00647,0.077,0.82,128.433,280000,4
0.565,0.948,7,-4.765,1,0.0521,0.0255,3.29e-06,0.117,0.686,138.018,186187,4
0.685,0.466,0,-9.074,1,0.0304,0.794,2.06e-06,0.0915,0.353,79.936,163133,4
0.787,0.527,1,-6.981,1,0.0512,0.0615,0.0,0.0656,0.807,133.107,187733,4
0.493,0.933,8,-5.224,1,0.0708,5.79e-06,0.283,0.138,0.294,123.043,266423,4
0.412,0.951,11,-3.371,0,0.0548,2.61e-06,0.00239,0.0958,0.333,158.78,162000,4
0.607,0.815,4,-6.619,1,0.039,0.0471,2.81e-05,0.111,0.57,136.949,209760,4
0.524,0.967,8,-3.322,1,0.0392,0.000289,7.41e-06,0.324,0.731,116.273,167200,4
0.521,0.92,8,-3.671,1,0.074,0.000709,0.0,0.296,0.746,94.974,138000,4
0.922,0.909,10,-2.429,0,0.27,0.0281,0.0,0.0856,0.309,95.295,161507,4
0.446,0.915,9,-6.221,1,0.141,0.00281,3.87e-05,0.218,0.398,190.013,204520,4
0.631,0.804,7,-5.492,1,0.166,0.00589,0.00116,0.16,0.671,79.898,297267,4
0.453,0.957,1,-4.025,1,0.0481,0.000232,1.87e-05,0.151,0.352,107.668,197227,4
0.523,0.438,0,-11.49,0,0.0356,0.867,0.0723,0.123,0.106,126.028,245240,4
0.547,0.635,2,-5.569,1,0.137,0.0127,5.01e-06,0.0585,0.525,113.678,245293,4
0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,302840,4
0.718,0.703,7,-7.162,0,0.0382,0.109,0.822,0.208,0.858,87.975,226533,4
0.359,0.981,7,-3.622,0,0.303,0.00125,0.00236,0.284,0.271,178.98,282653,4
0.388,0.595,1,-9.799,1,0.0325,0.663,5.58e-05,0.178,0.596,190.043,204213,4
0.755,0.895,9,-2.619,1,0.0883,0.0507,0.0737,0.222,0.844,118.871,181907,4
0.801,0.723,10,-4.985,0,0.0689,0.0713,0.154,0.0675,0.883,109.03,180518,4
0.669,0.389,0,-11.547,1,0.0306,0.605,0.16,0.0905,0.649,130.015,231173,4
0.64,0.904,9,-4.28,1,0.0874,0.175,1.21e-05,0.105,0.559,99.41,198000,4
0.482,0.721,0,-6.839,1,0.0321,0.731,0.0,0.189,0.557,95.263,369600,4
0.47,0.913,7,-10.196,1,0.0343,6.59e-05,0.267,0.222,0.977,130.425,145533,4
0.443,0.98,9,-5.793,1,0.122,0.00224,0.000615,0.138,0.19,152.96,177126,4
0.48,0.717,0,-6.663,1,0.23,0.0625,0.000685,0.0814,0.335,109.756,247547,4
0.338,0.692,8,-5.994,1,0.0467,0.545,0.00151,0.0945,0.122,150.302,275040,4
